1|0.0032|0.003|0.002|0.01|0.003|0.003
2|0.0032000000000000006|0.003|0.003|0.004|0.003|0.003
3|0.004200000000000001|0.0035|0.003|0.011|0.003|0.004
4|0.00395|0.004|0.003|0.005|0.004|0.004
5|0.0039000000000000007|0.004|0.003|0.005|0.004|0.004
6|0.004900000000000002|0.005|0.004|0.008|0.004|0.005
7|0.005700000000000001|0.005|0.004|0.018|0.005|0.005
8|0.0061|0.006|0.005|0.009|0.006|0.006
9|0.00645|0.006|0.005|0.021|0.005|0.006
10|0.008150000000000001|0.007|0.006|0.021|0.007|0.00825
25|0.014150000000000001|0.014|0.012|0.02|0.013|0.01425
50|0.02720000000000001|0.0265|0.023|0.035|0.025|0.029
100|0.0603|0.058499999999999996|0.05|0.079|0.055|0.06325
500|0.27115|0.264|0.235|0.351|0.2485|0.28374999999999995
1000|0.53|0.5085|0.46|0.714|0.49075|0.5627500000000001
1500|0.7994999999999999|0.786|0.69|1.035|0.734|0.8432499999999999
2000|1.0461500000000001|1.009|0.947|1.165|0.97775|1.11975
2500|1.3203500000000001|1.2835|1.146|1.596|1.2297500000000001|1.40625
3000|1.6196499999999996|1.5175|1.37|2.788|1.466|1.69525
3500|1.9911000000000005|1.9385|1.599|3.066|1.8055|2.04425
4000|2.2247|2.1905|1.827|3.893|2.0065|2.2760000000000002
4500|2.3654|2.363|2.055|2.642|2.189|2.526
5000|2.621|2.637|2.283|2.927|2.44775|2.79075
5500|2.9170000000000003|2.8965|2.511|3.529|2.69325|3.12775
6000|3.26485|3.2409999999999997|2.739|4.631|2.8937500000000003|3.5035
6500|3.3543999999999996|3.2465|2.966|4.091|3.105|3.58825
7000|3.95705|3.933|3.196|5.847|3.481|4.21475
7500|4.23205|4.191|3.451|5.646|3.8255|4.476
8000|4.2827|4.2775|3.649|5.414|3.8659999999999997|4.6427499999999995
8500|4.59705|4.5705|3.914|5.59|4.18275|4.86875
9000|4.850499999999999|4.704000000000001|4.134|6.84|4.39625|5.22725
9500|5.041600000000001|5.1825|4.364|6.048|4.4879999999999995|5.436999999999999
10000|5.358249999999999|5.399|4.64|6.223|4.97575|5.712
