1|0.0006500000000000001|0.001|0.0|0.003|0.0|0.001
2|0.002300000000000001|0.002|0.002|0.003|0.002|0.003
3|0.0025000000000000005|0.002|0.002|0.008|0.002|0.0022500000000000003
4|0.0023500000000000005|0.002|0.002|0.003|0.002|0.003
5|0.006700000000000002|0.006|0.006|0.009|0.006|0.00725
6|0.007850000000000001|0.007|0.006|0.014|0.007|0.00825
7|0.010750000000000001|0.008|0.007|0.032|0.008|0.00925
8|0.010350000000000002|0.009|0.008|0.017|0.009|0.011
9|0.012450000000000001|0.010499999999999999|0.009|0.034|0.01|0.01325
10|0.013000000000000001|0.011|0.011|0.034|0.011|0.013
25|0.03165|0.0275|0.025|0.053|0.026|0.03625
50|0.06334999999999999|0.061|0.057|0.081|0.05775|0.06825
100|0.1203|0.118|0.107|0.152|0.108|0.129
500|0.6005|0.573|0.472|1.121|0.50175|0.6355
1000|1.13205|1.0785|0.983|1.428|1.0125|1.2229999999999999
1500|1.7052|1.668|1.457|2.265|1.49725|1.76925
2000|2.2489999999999997|2.226|1.85|2.894|2.0015|2.35025
2500|2.9090000000000003|2.8255|2.37|4.56|2.52175|3.023
3000|3.2600499999999997|3.174|2.856|4.079|2.978|3.44125
3500|3.8766499999999993|3.6239999999999997|3.233|5.726|3.3600000000000003|4.3675
4000|4.331099999999999|3.973|3.677|6.536|3.92425|4.688
4500|4.898599999999999|4.596|4.167|6.785|4.4025|5.296250000000001
5000|5.4719500000000005|5.4005|4.615|6.655|4.859|5.98625
5500|6.18385|5.805|5.218|8.29|5.32275|6.731999999999999
6000|6.494199999999999|6.319|5.526|8.065|5.85675|7.0802499999999995
6500|7.0504999999999995|6.681|6.04|8.881|6.26475|7.71325
7000|7.9453000000000005|7.8245000000000005|6.504|10.381|6.73625|8.89425
7500|8.364450000000001|8.5135|7.049|10.556|7.767250000000001|8.79175
8000|8.7781|8.7365|7.461|11.043|7.9805|9.2875
8500|9.268999999999998|9.182|7.901|10.917|8.314499999999999|10.3675
9000|10.07925|10.1175|8.715|11.51|9.882249999999999|10.5525
9500|10.304150000000002|10.1145|8.839|12.136|9.4465|11.107750000000001
10000|10.7318|10.6385|9.3|12.694|9.95|11.52075
